run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0
35,2025-05-29 01:30:00,2025-07-13 01:40:00,2025-07-13 01:50:00,2025-07-14 01:40:00,6480,144,0.18816628890259135,0.2878259135466513,0.9943236427960761,12.79669337474623,23.069535313880852,0.9929185226342704,0.008786884706001993,0.014359762241683798,0.9957769316899049
36,2025-05-29 01:30:00,2025-07-14 01:40:00,2025-07-14 01:50:00,2025-07-15 01:40:00,6624,144,0.2513014609891369,0.3436169558361408,0.9919055245099682,13.088023301887514,24.96630218293294,0.9906742056875918,0.009788507131091726,0.016451844567318026,0.9940731063938194
37,2025-05-29 01:30:00,2025-07-15 01:40:00,2025-07-15 01:50:00,2025-07-16 01:40:00,6768,144,0.2002389306334808,0.2612309697205134,0.9956564949591892,15.059852270390634,27.246767107268717,0.9885155272117284,0.010505876998611283,0.017113016311982122,0.9933593465340828
38,2025-05-29 01:30:00,2025-07-16 01:40:00,2025-07-16 01:50:00,2025-07-17 01:50:00,6912,144,0.2693801636338018,0.345519880767369,0.994446135047634,22.692277337770904,44.61205203074376,0.9735963296343673,0.015716001403182144,0.020801193405664012,0.9918836740280007
39,2025-05-29 01:30:00,2025-07-17 01:50:00,2025-07-17 02:00:00,2025-07-18 01:50:00,7056,144,0.8081749012698485,1.0839758141072662,0.9512184630056286,25.166205488653475,42.10094660652529,0.9823411243025002,0.01619901708683652,0.033129272130928374,0.9803987229252581
40,2025-05-29 01:30:00,2025-07-18 01:50:00,2025-07-18 02:00:00,2025-07-19 01:50:00,7200,144,0.3378148824708864,0.4368886583296196,0.9899662838438125,12.611540324904075,21.599003249895954,0.9950688466637254,0.010678972613884221,0.0179254105845969,0.994320367853645
41,2025-05-29 01:30:00,2025-07-19 01:50:00,2025-07-19 02:00:00,2025-07-20 01:50:00,7344,144,0.23550847798788807,0.3293542817502464,0.9909120559377624,11.867886575241199,20.92499773279,0.9939919677326776,0.008463293388898703,0.014038839744307736,0.9957729622275016
42,2025-05-29 01:30:00,2025-07-20 01:50:00,2025-07-20 02:00:00,2025-07-21 01:50:00,7488,144,0.21718258263589185,0.32385120578797205,0.9909157670959629,14.777458396371221,26.818269045406385,0.9909359541638514,0.012191842230669778,0.02013061380102172,0.9921695528669439
43,2025-05-29 01:30:00,2025-07-21 01:50:00,2025-07-21 02:00:00,2025-07-22 01:50:00,7632,144,0.24511328105947885,0.32416559518215154,0.9917015413160878,17.081730324257244,27.899556591417056,0.9900921927827544,0.01026868635741803,0.01849716092170359,0.9933930518864931
44,2025-05-29 01:30:00,2025-07-22 01:50:00,2025-07-22 02:00:00,2025-07-23 01:50:00,7776,144,0.23460640174472877,0.2959391404665061,0.9940100512700533,11.463997798459795,21.23445147797926,0.995143766193778,0.008721329140817611,0.014912820303455792,0.9961181741613592
